model,sweep,value,epoch,batch_size,embed_dim,hidden_size,learning_rate,dropout,train_loss,train_acc,dev_loss,dev_acc
BiLSTM,learning_rate,0.001,3,32,128,128,0.001,0.3,0.275687,0.913500,0.490292,0.820000
BiLSTM,learning_rate,0.0005,1,32,128,128,0.0005,0.3,1.311578,0.434000,1.185922,0.547500
BiLSTM,learning_rate,0.0005,2,32,128,128,0.0005,0.3,0.858361,0.699500,0.639798,0.755000
BiLSTM,learning_rate,0.0005,3,32,128,128,0.0005,0.3,0.458933,0.844500,0.520549,0.807500
BiLSTM,learning_rate,0.0001,1,32,128,128,0.0001,0.3,1.379039,0.301500,1.363565,0.410000
BiLSTM,learning_rate,0.0001,2,32,128,128,0.0001,0.3,1.349250,0.438000,1.329704,0.502500
BiLSTM,learning_rate,0.0001,3,32,128,128,0.0001,0.3,1.269835,0.511500,1.232082,0.517500
BiLSTM,dropout,0.1,1,32,128,128,0.001,0.1,1.125786,0.530500,0.723071,0.735000
BiLSTM,dropout,0.1,2,32,128,128,0.001,0.1,0.466276,0.852000,0.454341,0.835000
BiLSTM,dropout,0.1,3,32,128,128,0.001,0.1,0.256127,0.921000,0.472404,0.830000
BiLSTM,dropout,0.2,1,32,128,128,0.001,0.2,1.142644,0.515000,0.739560,0.720000
BiLSTM,dropout,0.2,2,32,128,128,0.001,0.2,0.479520,0.840500,0.485863,0.817500
BiLSTM,dropout,0.2,3,32,128,128,0.001,0.2,0.275335,0.911500,0.515107,0.830000
BiLSTM,dropout,0.3,1,32,128,128,0.001,0.3,1.165966,0.512000,0.782299,0.707500
BiLSTM,dropout,0.3,2,32,128,128,0.001,0.3,0.501187,0.827500,0.489789,0.837500
BiLSTM,dropout,0.3,3,32,128,128,0.001,0.3,0.275687,0.913500,0.490292,0.820000
BiLSTM,dropout,0.4,1,32,128,128,0.001,0.4,1.187256,0.500000,0.832243,0.670000
BiLSTM,dropout,0.4,2,32,128,128,0.001,0.4,0.544321,0.820500,0.499930,0.810000
BiLSTM,dropout,0.4,3,32,128,128,0.001,0.4,0.297540,0.904500,0.509313,0.817500
BiLSTM,dropout,0.5,1,32,128,128,0.001,0.5,1.210503,0.483500,0.906141,0.645000
BiLSTM,dropout,0.5,2,32,128,128,0.001,0.5,0.572969,0.801500,0.485355,0.820000
BiLSTM,dropout,0.5,3,32,128,128,0.001,0.5,0.319455,0.897500,0.466295,0.830000
